LABEL,TEXT,URL,EMAIL,PHONE
legit,Your opinion about me? 1. Over 2. Jada 3. Kusruthi 4. Lovable 5. Silent 6. Spl character 7. Not matured 8. Stylish 9. Simple Pls reply..,No,No,No
legit,What's up? Do you want me to come online? If you are free we can talk sometime�,No,No,No
legit,So u workin overtime nigpun?,No,No,No
legit,"Also sir, i sent you an email about how to log into the usc payment portal. I.ll send you another message that should explain how things are back home. Have a great weekend.",No,No,No
smishing,Please Stay At Home. To encourage the notion of staying at home. All tax-paying citizens are entitled to �305.96 or more emergency refund. smsg.io/fCVbD,No,No,No
smishing,BankOfAmerica Alert 137943. Please follow http://bit.do/cgjK-and re-activate,yes,No,yes
legit,Sorry dude. Dont know how i forgot. Even after Dan reminded me. Sorry. Hope you guys had fun.,No,No,No
legit,I don't quite know what to do. I still can't get hold of anyone. I cud pick you up bout 7.30pm and we can see if they're in the pub?,No,No,No
legit,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,No,No,No
legit,Wat r u doing now?,No,No,No
legit,Buy one egg for me da..please:),No,No,No
legit,Is there a reason we've not spoken this year? Anyways have a great week and all the best in your exam,No,No,No
legit,Stop the story. I've told him i've returned it and he's saying i should not re order it.,No,No,No
legit,No. I dont want to hear anything,No,No,No
legit,"Waqt se pehle or naseeb se zyada kisi ko kuch nahi milta,Zindgi wo nahi he jo hum sochte hai Zindgi wo hai jo legit jeetey hai..........",No,No,No
legit,I'm e person who's doing e sms survey...,No,No,No
legit,Mm i had my food da from out,No,No,No
legit,"4 tacos + 1 rajas burrito, right?",No,No,No
legit,"House-Maid is the murderer, coz the man was murdered on  26th January.. ",No,No,No
legit,yes! How is a pretty lady like you single?,No,No,No
legit,(That said can you text him one more time?),No,No,No
legit,I know she called me,No,No,No
legit,In sch but neva mind u eat 1st lor..,No,No,No
smishing,lyricalladie(21/F) is inviting you to be her friend. Reply yes-910 or NO-910. See her: www.SMS.ac/u/hmmross STOP? Send STOP FRND to 62468,No,No,yes
legit,Jay says that you're a double-faggot,No,No,No
legit,Ok i thk i got it. Then u wan me 2 come now or wat?,No,No,No
smishing,UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403233,No,No,yes
smishing,"Hello from Orange. For 1 month's free access to games, news and sport, plus 10 free texts and 20 photo messages, reply yes. Terms apply: www.orange.co.uk/ow",yes,No,No
legit,Oh... Lk tt den we take e one tt ends at cine lor... Dun wan yogasana oso can...,No,No,No
legit,Whens your radio show?,No,No,No
legit,"Jane babes not goin 2 wrk, feel ill after lst nite. Foned in already cover 4 me chuck.:-)",No,No,No
smishing,"New Offer! Save upto 40\% electricity bill with Power Saver(GOVT. LAB TESTED), Rs. 1050/-(free home delivery) 3 Yr. Guarantee Call 9891943823,9891943780",No,No,yes
legit,What * u wearing?,No,No,No
legit,o turns out i had stereo love on mi phone under the unknown album.,No,No,No
